Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Group,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue
SRR31443363,RNA-Seq,282,6868324298,PRJNA1189476,SAMN44971362,2230489222,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX26812150,uncalculated,uncalculated,missing,WJR,Illumina NovaSeq 6000,GSM8647293,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:03:00Z,1,GSM8647293,lung,SRP546985,lung
SRR31443364,RNA-Seq,281,7161992637,PRJNA1189476,SAMN44971363,2261989118,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX26812149,uncalculated,uncalculated,missing,WJR,Illumina NovaSeq 6000,GSM8647292,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:04:00Z,1,GSM8647292,lung,SRP546985,lung
SRR31443365,RNA-Seq,280,7023712767,PRJNA1189476,SAMN44971388,2183301601,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX26812148,uncalculated,uncalculated,missing,JRX,Illumina NovaSeq 6000,GSM8647267,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:04:00Z,1,GSM8647267,lung,SRP546985,lung
SRR31443366,RNA-Seq,280,6900780860,PRJNA1189476,SAMN44971389,2167250951,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX26812147,uncalculated,uncalculated,missing,JRX,Illumina NovaSeq 6000,GSM8647266,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:04:00Z,1,GSM8647266,lung,SRP546985,lung
SRR31443367,RNA-Seq,280,6434066655,PRJNA1189476,SAMN44971390,2018900297,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX26812146,uncalculated,uncalculated,missing,JRX,Illumina NovaSeq 6000,GSM8647265,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:04:00Z,1,GSM8647265,lung,SRP546985,lung
SRR31443368,RNA-Seq,280,6339730207,PRJNA1189476,SAMN44971391,1999758134,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX26812145,uncalculated,uncalculated,missing,JRX,Illumina NovaSeq 6000,GSM8647264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:04:00Z,1,GSM8647264,lung,SRP546985,lung
SRR31443369,RNA-Seq,280,6667560267,PRJNA1189476,SAMN44971392,2083504002,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX26812144,uncalculated,uncalculated,missing,JRX,Illumina NovaSeq 6000,GSM8647263,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:05:00Z,1,GSM8647263,lung,SRP546985,lung
SRR31443370,RNA-Seq,280,6401591611,PRJNA1189476,SAMN44971393,1994648174,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX26812143,uncalculated,uncalculated,missing,JRX,Illumina NovaSeq 6000,GSM8647262,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:02:00Z,1,GSM8647262,lung,SRP546985,lung
SRR31443371,RNA-Seq,280,6208859357,PRJNA1189476,SAMN44971394,1945776888,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX26812142,uncalculated,uncalculated,missing,JRX,Illumina NovaSeq 6000,GSM8647261,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:02:00Z,1,GSM8647261,lung,SRP546985,lung
SRR31443372,RNA-Seq,280,6015679845,PRJNA1189476,SAMN44971395,1879252066,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX26812141,uncalculated,uncalculated,missing,JRX,Illumina NovaSeq 6000,GSM8647260,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:04:00Z,1,GSM8647260,lung,SRP546985,lung
SRR31443373,RNA-Seq,281,5865758337,PRJNA1189476,SAMN44971340,1907564582,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX26812140,uncalculated,uncalculated,missing,YWA,Illumina NovaSeq 6000,GSM8647315,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:02:00Z,1,GSM8647315,lung,SRP546985,lung
SRR31443374,RNA-Seq,281,6292143657,PRJNA1189476,SAMN44971341,2148854703,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX26812139,uncalculated,uncalculated,missing,YWA,Illumina NovaSeq 6000,GSM8647314,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:04:00Z,1,GSM8647314,lung,SRP546985,lung
SRR31443375,RNA-Seq,280,4986136608,PRJNA1189476,SAMN44971342,1629046803,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX26812138,uncalculated,uncalculated,missing,YWA,Illumina NovaSeq 6000,GSM8647313,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:03:00Z,1,GSM8647313,lung,SRP546985,lung
SRR31443376,RNA-Seq,281,5759759487,PRJNA1189476,SAMN44971343,1880038260,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX26812137,uncalculated,uncalculated,missing,YWA,Illumina NovaSeq 6000,GSM8647312,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:03:00Z,1,GSM8647312,lung,SRP546985,lung
SRR31443377,RNA-Seq,281,6599106961,PRJNA1189476,SAMN44971344,2134613268,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX26812136,uncalculated,uncalculated,missing,YWA,Illumina NovaSeq 6000,GSM8647311,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:02:00Z,1,GSM8647311,lung,SRP546985,lung
SRR31443378,RNA-Seq,281,6680269544,PRJNA1189476,SAMN44971345,2169456828,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX26812135,uncalculated,uncalculated,missing,YWA,Illumina NovaSeq 6000,GSM8647310,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:04:00Z,1,GSM8647310,lung,SRP546985,lung
SRR31443379,RNA-Seq,282,5677751589,PRJNA1189476,SAMN44971346,1843425225,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX26812134,uncalculated,uncalculated,missing,YWA,Illumina NovaSeq 6000,GSM8647309,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:02:00Z,1,GSM8647309,lung,SRP546985,lung
SRR31443380,RNA-Seq,282,6555522164,PRJNA1189476,SAMN44971347,2127062472,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX26812133,uncalculated,uncalculated,missing,YWA,Illumina NovaSeq 6000,GSM8647308,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:02:00Z,1,GSM8647308,lung,SRP546985,lung
SRR31443381,RNA-Seq,280,6416538201,PRJNA1189476,SAMN44971372,2018573220,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX26812132,uncalculated,uncalculated,missing,WJR,Illumina NovaSeq 6000,GSM8647283,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:04:00Z,1,GSM8647283,lung,SRP546985,lung
SRR31443382,RNA-Seq,280,7047003155,PRJNA1189476,SAMN44971373,2207223729,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX26812131,uncalculated,uncalculated,missing,WJR,Illumina NovaSeq 6000,GSM8647282,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:05:00Z,1,GSM8647282,lung,SRP546985,lung
